altitude,latitude,clutchsize,eggsize,bodysize,clutch volume
"3,462.00",34.82,2.26,0.29,0.56,2.25
"3,462.00",34.82,2.43,0.29,0.56,2.41
"3,462.00",34.82,2.20,0.29,0.57,2.18
"3,462.00",34.82,2.37,0.29,0.58,2.35
"3,462.00",34.82,2.39,0.29,0.59,2.37
"3,462.00",34.82,2.48,0.29,0.59,2.46
"3,462.00",34.82,2.55,0.29,0.59,2.53
"3,462.00",34.82,2.61,0.29,0.60,2.59
"3,462.00",34.82,2.60,0.29,0.60,2.58
"2,035.00",33.16,2.73,0.31,0.61,2.74
"3,098.00",34.77,2.72,0.35,0.61,2.87
"3,462.00",34.82,2.59,0.29,0.61,2.57
"3,462.00",34.82,2.77,0.29,0.61,2.75
"2,035.00",33.16,2.67,0.31,0.62,2.69
"3,462.00",34.82,2.77,0.29,0.62,2.75
"3,098.00",34.77,2.61,0.35,0.62,2.76
"3,462.00",34.82,2.56,0.29,0.62,2.54
"2,035.00",33.16,2.77,0.31,0.63,2.79
"3,462.00",34.82,2.62,0.29,0.63,2.60
"3,462.00",34.82,2.44,0.29,0.63,2.42
"3,462.00",34.82,2.77,0.29,0.64,2.75
"3,462.00",34.82,2.53,0.29,0.64,2.51
"3,462.00",34.82,2.76,0.29,0.64,2.74
"3,462.00",34.82,2.44,0.29,0.64,2.42
"3,462.00",34.82,2.57,0.29,0.64,2.55
"3,462.00",34.82,2.74,0.29,0.64,2.72
"3,462.00",34.82,2.79,0.29,0.65,2.77
"3,462.00",34.82,2.70,0.29,0.65,2.68
"3,462.00",34.82,2.72,0.29,0.66,2.70
"3,462.00",34.82,2.63,0.29,0.66,2.61
"3,462.00",34.82,2.69,0.29,0.66,2.67
"3,061.00",32.78,2.77,0.32,0.66,2.81
"3,462.00",34.82,2.71,0.29,0.67,2.69
"2,035.00",33.16,2.75,0.31,0.67,2.77
"3,493.00",34.30,2.84,0.36,0.67,3.02
"3,462.00",34.82,2.66,0.29,0.67,2.64
"3,462.00",34.82,2.79,0.29,0.68,2.77
"3,462.00",34.82,2.69,0.29,0.68,2.67
"3,462.00",34.82,2.80,0.29,0.68,2.78
